Вариант 5: N=460 точек, размерность=4, seed=1185
Матрица расстояний 460x460 построена за 0.143 с
Задание: профилируйте эту программу (cProfile / line_profiler) и найдите,
сколько времени и почему уходит именно на compute_pairwise_distances().
         437809 function calls (437526 primitive calls) in 0.164 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       24    0.000    0.000    0.000    0.000 <frozen os>:704(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:164(match)
        5    0.000    0.000    0.000    0.000 dataclasses.py:728(_frozen_get_del_attr)
        3    0.000    0.000    0.000    0.000 enum.py:466(__prepare__)
        4    0.000    0.000    0.000    0.000 inspect.py:2031(_signature_bound_method)
        1    0.000    0.000    0.000    0.000 _streams.py:1(<module>)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        2    0.000    0.000    0.000    0.000 _colorize.py:274(can_colorize)
        2    0.000    0.000    0.000    0.000 random.py:119(__init__)
        6    0.000    0.000    0.000    0.000 locale.py:386(normalize)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
       41    0.000    0.000    0.000    0.000 inspect.py:1339(formatannotation)
       12    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        5    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        2    0.000    0.000    0.000    0.000 argparse.py:1565(add_argument_group)
       12    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
       41    0.000    0.000    0.000    0.000 dataclasses.py:591(_field_init)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x10519e140}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
        4    0.000    0.000    0.000    0.000 inspect.py:3051(replace)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1449(path_hook_for_FileFinder)
        2    0.000    0.000    0.000    0.000 argparse.py:1755(__init__)
      205    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
